anio,mes,region,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,Amazonia,189325,31,31,1.0,189325.0
2021,2,Amazonia,449015,28,28,1.0,449015.0
2021,3,Amazonia,322322,31,31,1.0,322322.0
2021,4,Amazonia,86143,30,30,1.0,86143.0
2021,5,Amazonia,45736,31,31,1.0,45736.0
2021,6,Amazonia,47883,30,30,1.0,47883.0
2021,7,Amazonia,19130,30,31,0.9677,19767.7
2021,8,Amazonia,84478,31,31,1.0,84478.0
2021,9,Amazonia,89874,30,30,1.0,89874.0
2021,10,Amazonia,205013,31,31,1.0,205013.0
2021,11,Amazonia,471754,30,30,1.0,471754.0
2021,12,Amazonia,519854,31,31,1.0,519854.0
2022,1,Amazonia,466683,31,31,1.0,466683.0
2022,2,Amazonia,437280,28,28,1.0,437280.0
2022,3,Amazonia,251272,31,31,1.0,251272.0
2022,4,Amazonia,144653,30,30,1.0,144653.0
2022,5,Amazonia,29200,31,31,1.0,29200.0
2022,6,Amazonia,28284,27,30,0.9,31426.7
2022,7,Amazonia,48289,31,31,1.0,48289.0
2022,8,Amazonia,50184,30,31,0.9677,51856.8
2022,9,Amazonia,152322,30,30,1.0,152322.0
2022,10,Amazonia,388015,31,31,1.0,388015.0
2022,11,Amazonia,470989,30,30,1.0,470989.0
2022,12,Amazonia,466920,31,31,1.0,466920.0
2023,1,Amazonia,330819,31,31,1.0,330819.0
2023,2,Amazonia,337558,28,28,1.0,337558.0
2023,3,Amazonia,466540,31,31,1.0,466540.0
2023,4,Amazonia,206467,30,30,1.0,206467.0
2023,5,Amazonia,58150,31,31,1.0,58150.0
2023,6,Amazonia,10277,26,30,0.8667,11858.1
2023,7,Amazonia,20049,30,31,0.9677,20717.3
2023,8,Amazonia,39141,31,31,1.0,39141.0
2023,9,Amazonia,135539,30,30,1.0,135539.0
2023,10,Amazonia,257582,31,31,1.0,257582.0
2023,11,Amazonia,312959,30,30,1.0,312959.0
2023,12,Amazonia,214163,31,31,1.0,214163.0
2024,1,Amazonia,331642,31,31,1.0,331642.0
2024,2,Amazonia,535764,29,29,1.0,535764.0
2024,3,Amazonia,289421,31,31,1.0,289421.0
2024,4,Amazonia,184386,30,30,1.0,184386.0
2024,5,Amazonia,46434,28,31,0.9032,51409.1
2024,6,Amazonia,24074,28,30,0.9333,25793.6
2024,7,Amazonia,14449,29,31,0.9355,15445.5
2024,8,Amazonia,70106,30,31,0.9677,72442.9
2024,9,Amazonia,125300,30,30,1.0,125300.0
2024,10,Amazonia,265521,31,31,1.0,265521.0
2024,11,Amazonia,355069,30,30,1.0,355069.0
2024,12,Amazonia,348966,31,31,1.0,348966.0
